run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,INNSBRUCK,AUSTRIAN ARROWS,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 50 , 22.5 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,INNSBRUCK,AUSTRIAN ARROWS,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 83 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,INNSBRUCK,THOMSON AIRWAYS LTD,A,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 100 , 1.33333333333333 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,INNSBRUCK,THOMSON AIRWAYS LTD,D,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 4 , 75 , 10 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,SALZBURG,FLYBE LTD,A,C, 5 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 2.2 , 0 , 4 , 25 , 35 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,SALZBURG,FLYBE LTD,D,C, 3 , 0 , 66.6666666666667 , 33.3333333333333 , 0 , 0 , 0 , 0 , 10 , 0 , 2 , 50 , 27.5 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,SALZBURG,THOMSON AIRWAYS LTD,A,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 1.25 , 0 , 2 , 50 , 40 
01-Jun-2011 13:46,201103,BIRMINGHAM,AUSTRIA,SALZBURG,THOMSON AIRWAYS LTD,D,C, 3 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 100 , 11 
01-Jun-2011 13:46,201103,BIRMINGHAM,BARBADOS,BRIDGETOWN,THOMSON AIRWAYS LTD,A,C, 5 , 0 , 60 , 40 , 0 , 0 , 0 , 0 , 10.4 , 0 , 7 , 85.7142857142857 , 16.5714285714286 
01-Jun-2011 13:46,201103,BIRMINGHAM,BARBADOS,BRIDGETOWN,THOMSON AIRWAYS LTD,D,C, 7 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 9 , 77.7777777777778 , 23.8888888888889 
01-Jun-2011 13:46,201103,BIRMINGHAM,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,A,S, 128 , 0 , 92.96875 , 3.125 , 3.125 , 0.78125 , 0 , 0 , 4.046875 , 0 , 128 , 79.6875 , 11.7734375 
01-Jun-2011 13:46,201103,BIRMINGHAM,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,D,S, 128 , 0 , 90.625 , 5.46875 , 3.90625 , 0 , 0 , 0 , 4.75 , 0 , 128 , 83.59375 , 10.3671875 
01-Jun-2011 13:46,201103,BIRMINGHAM,BULGARIA,SOFIA,THOMSON AIRWAYS LTD,A,C, 2 , 0 , 50 , 0 , 50 , 0 , 0 , 0 , 25.5 , 0 , 2 , 50 , 139 
01-Jun-2011 13:46,201103,BIRMINGHAM,BULGARIA,SOFIA,THOMSON AIRWAYS LTD,D,C, 1 , 0 , 0 , 0 , 0 , 100 , 0 , 0 , 63 , 0 , 1 , 0 , 273 
01-Jun-2011 13:46,201103,BIRMINGHAM,CAPE VERDE ISLANDS,ILHA DO SAL C.VERDE,THOMSON AIRWAYS LTD,A,S, 5 , 0 , 60 , 20 , 0 , 0 , 20 , 0 , 47.6 , 0 , 5 , 60 , 23.4 
01-Jun-2011 13:46,201103,BIRMINGHAM,CAPE VERDE ISLANDS,ILHA DO SAL C.VERDE,THOMSON AIRWAYS LTD,D,S, 5 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 5.6 , 0 , 5 , 60 , 18.2 
01-Jun-2011 13:46,201103,BIRMINGHAM,CUBA,HAVANA,THOMSON AIRWAYS LTD,A,C, 1 , 0 , 0 , 0 , 100 , 0 , 0 , 0 , 48 , 0 , 0 , 0 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,CUBA,HAVANA,THOMSON AIRWAYS LTD,D,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,LARNACA,CYPRUS AIRWAYS,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 60 , 21.2 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,LARNACA,CYPRUS AIRWAYS,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 46.6 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,LARNACA,MONARCH AIRLINES,A,S, 10 , 0 , 70 , 20 , 0 , 10 , 0 , 0 , 10.1 , 0 , 10 , 40 , 30.3 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,LARNACA,MONARCH AIRLINES,D,S, 10 , 0 , 70 , 20 , 10 , 0 , 0 , 0 , 14.9 , 0 , 11 , 63.6363636363636 , 26.5454545454545 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,PAPHOS,EUROCYPRIA AIRLINES LTD,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 81 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,PAPHOS,EUROCYPRIA AIRLINES LTD,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 100 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,PAPHOS,THOMSON AIRWAYS LTD,A,C, 5 , 0 , 60 , 20 , 20 , 0 , 0 , 0 , 12.2 , 0 , 5 , 60 , 20 
01-Jun-2011 13:46,201103,BIRMINGHAM,CYPRUS,PAPHOS,THOMSON AIRWAYS LTD,D,C, 5 , 0 , 60 , 20 , 20 , 0 , 0 , 0 , 18.6 , 0 , 6 , 66.6666666666667 , 18 
01-Jun-2011 13:46,201103,BIRMINGHAM,CZECH REPUBLIC,PRAGUE,BMIBABY LTD,A,S, 13 , 0 , 92.3076923076923 , 7.69230769230769 , 0 , 0 , 0 , 0 , 2.23076923076923 , 0 , 17 , 82.3529411764706 , 9.76470588235294 
01-Jun-2011 13:46,201103,BIRMINGHAM,CZECH REPUBLIC,PRAGUE,BMIBABY LTD,D,S, 13 , 0 , 92.3076923076923 , 0 , 7.69230769230769 , 0 , 0 , 0 , 7.61538461538462 , 0 , 17 , 76.4705882352941 , 15.5294117647059 
01-Jun-2011 13:46,201103,BIRMINGHAM,CZECH REPUBLIC,PRAGUE,RYANAIR,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 72.2222222222222 , 11.8888888888889 
01-Jun-2011 13:46,201103,BIRMINGHAM,CZECH REPUBLIC,PRAGUE,RYANAIR,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 61.1111111111111 , 20 
01-Jun-2011 13:46,201103,BIRMINGHAM,DENMARK,COPENHAGEN,SAS,A,S, 46 , 0 , 89.1304347826087 , 4.34782608695652 , 0 , 6.52173913043478 , 0 , 0 , 7.84782608695652 , 0 , 50 , 76 , 13.44 
01-Jun-2011 13:46,201103,BIRMINGHAM,DENMARK,COPENHAGEN,SAS,D,S, 46 , 0 , 89.1304347826087 , 4.34782608695652 , 0 , 6.52173913043478 , 0 , 0 , 8.21739130434783 , 0 , 50 , 76 , 14.04 
01-Jun-2011 13:46,201103,BIRMINGHAM,DOMINICAN REPUBLIC,LA ROMANA,THOMSON AIRWAYS LTD,A,C, 3 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 66.6666666666667 , 13.3333333333333 
01-Jun-2011 13:46,201103,BIRMINGHAM,DOMINICAN REPUBLIC,LA ROMANA,THOMSON AIRWAYS LTD,D,C, 4 , 0 , 50 , 0 , 25 , 25 , 0 , 0 , 41.5 , 0 , 4 , 25 , 28.5 
01-Jun-2011 13:46,201103,BIRMINGHAM,DOMINICAN REPUBLIC,PUNTA CANA,THOMSON AIRWAYS LTD,A,C, 5 , 0 , 80 , 20 , 0 , 0 , 0 , 0 , 3.6 , 0 , 5 , 80 , 13.4 
01-Jun-2011 13:46,201103,BIRMINGHAM,DOMINICAN REPUBLIC,PUNTA CANA,THOMSON AIRWAYS LTD,D,C, 5 , 0 , 20 , 40 , 20 , 20 , 0 , 0 , 48.8 , 0 , 5 , 80 , 18.4 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,HURGHADA,THOMAS COOK AIRLINES LTD,A,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 2.5 , 0 , 4 , 100 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,HURGHADA,THOMAS COOK AIRLINES LTD,D,C, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 100 , 0.75 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,HURGHADA,THOMSON AIRWAYS LTD,A,S, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 3.25 , 0 , 0 , 0 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,HURGHADA,THOMSON AIRWAYS LTD,D,S, 4 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 1.75 , 0 , 0 , 0 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,LUXOR,THOMSON AIRWAYS LTD,A,C, 5 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 3.4 , 0 , 5 , 80 , 12.8 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,LUXOR,THOMSON AIRWAYS LTD,D,C, 5 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 4.4 , 0 , 5 , 80 , 14.8 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,SHARM EL SHEIKH (OPHIRA),THOMAS COOK AIRLINES LTD,A,C, 6 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 3.5 , 0 , 9 , 77.7777777777778 , 11.4444444444444 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,SHARM EL SHEIKH (OPHIRA),THOMAS COOK AIRLINES LTD,D,C, 6 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 2.16666666666667 , 0 , 9 , 77.7777777777778 , 11.5555555555556 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,SHARM EL SHEIKH (OPHIRA),THOMSON AIRWAYS LTD,A,S, 17 , 0 , 94.1176470588235 , 5.88235294117647 , 0 , 0 , 0 , 0 , 2.11764705882353 , 0 , 17 , 58.8235294117647 , 19.9411764705882 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,SHARM EL SHEIKH (OPHIRA),THOMSON AIRWAYS LTD,D,S, 17 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 17 , 82.3529411764706 , 10.7058823529412 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,TABA,THOMSON AIRWAYS LTD,A,C, 5 , 0 , 60 , 0 , 0 , 40 , 0 , 0 , 51 , 0 , 5 , 40 , 72.4 
01-Jun-2011 13:46,201103,BIRMINGHAM,EGYPT,TABA,THOMSON AIRWAYS LTD,D,C, 5 , 0 , 60 , 0 , 0 , 40 , 0 , 0 , 49.8 , 0 , 5 , 60 , 58.8 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,BIARRITZ,RYANAIR,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9 , 88.8888888888889 , 7 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,BIARRITZ,RYANAIR,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 9 , 88.8888888888889 , 12 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,CHAMBERY,FLYBE LTD,A,C, 8 , 0 , 25 , 25 , 37.5 , 12.5 , 0 , 0 , 39.625 , 0 , 4 , 0 , 41.25 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,CHAMBERY,FLYBE LTD,A,S, 8 , 0 , 75 , 0 , 0 , 25 , 0 , 0 , 31.125 , 0 , 8 , 25 , 36.875 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,CHAMBERY,FLYBE LTD,D,C, 8 , 0 , 50 , 25 , 12.5 , 12.5 , 0 , 0 , 25.375 , 0 , 4 , 50 , 17 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,CHAMBERY,FLYBE LTD,D,S, 8 , 0 , 25 , 50 , 12.5 , 12.5 , 0 , 0 , 32.375 , 0 , 8 , 37.5 , 38.625 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,CHAMBERY,THOMSON AIRWAYS LTD,A,C, 4 , 0 , 25 , 25 , 0 , 25 , 25 , 0 , 83.75 , 0 , 4 , 25 , 22.25 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,CHAMBERY,THOMSON AIRWAYS LTD,D,C, 4 , 0 , 50 , 0 , 25 , 25 , 0 , 0 , 33.25 , 0 , 4 , 50 , 11 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,GRENOBLE,EASYJET AIRLINE COMPANY LTD,A,S, 8 , 0 , 87.5 , 0 , 12.5 , 0 , 0 , 0 , 5.375 , 0 , 8 , 75 , 9.875 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,GRENOBLE,EASYJET AIRLINE COMPANY LTD,D,S, 8 , 0 , 87.5 , 0 , 12.5 , 0 , 0 , 0 , 8.75 , 0 , 8 , 75 , 22.375 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,GRENOBLE,FLYBE LTD,A,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 25 , 26.25 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,GRENOBLE,FLYBE LTD,D,C, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 50 , 30.25 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,GRENOBLE,RYANAIR,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 100 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,GRENOBLE,RYANAIR,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 100 , 6.25 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,LYON,BRIT AIR,A,S, 49 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 1.20408163265306 , 0 , 48 , 85.4166666666667 , 8.4375 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,LYON,BRIT AIR,D,S, 49 , 0 , 97.9591836734694 , 2.04081632653061 , 0 , 0 , 0 , 0 , 1.3469387755102 , 0 , 47 , 85.1063829787234 , 10.1914893617021 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,NICE,BMIBABY LTD,A,S, 11 , 0 , 81.8181818181818 , 18.1818181818182 , 0 , 0 , 0 , 0 , 4.27272727272727 , 0 , 10 , 60 , 26.9 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,NICE,BMIBABY LTD,D,S, 11 , 0 , 90.9090909090909 , 9.09090909090909 , 0 , 0 , 0 , 0 , 5.36363636363636 , 0 , 10 , 80 , 21.2 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,A,S, 93 , 0 , 98.9247311827957 , 1.0752688172043 , 0 , 0 , 0 , 0 , 1.13978494623656 , 0 , 0 , 0 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,D,S, 93 , 0 , 97.8494623655914 , 1.0752688172043 , 1.0752688172043 , 0 , 0 , 0 , 1.64516129032258 , 0 , 0 , 0 , 0 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,PARIS (CHARLES DE GAULLE),CITY JET,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 154 , 74.6753246753247 , 12.5844155844156 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,PARIS (CHARLES DE GAULLE),CITY JET,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 152 , 80.2631578947369 , 15.7565789473684 
01-Jun-2011 13:46,201103,BIRMINGHAM,FRANCE,PARIS (CHARLES DE GAULLE),FLYBE LTD,A,S, 81 , 0 , 93.8271604938272 , 2.46913580246914 , 1.23456790123457 , 2.46913580246914 , 0 , 0 , 3.61728395061728 , 0 , 80 , 73.75 , 18.3875 
