run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,INNSBRUCK,CELLO AVIATION LTD,A,C,0,1,0,0,0,0,0,0,0,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,INNSBRUCK,ESTONIAN AIR,A,C,2,0,0,50,50,0,0,0,39.5,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,INNSBRUCK,ESTONIAN AIR,D,C,3,0,0,33.33333333,66.66666667,0,0,0,36.66666667,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,INNSBRUCK,FLYBE LTD,A,C,0,0,0,0,0,0,0,0,0,0,1,100,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,INNSBRUCK,FLYBE LTD,D,C,0,0,0,0,0,0,0,0,0,0,2,100,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,SALZBURG,ESTONIAN AIR,D,C,1,0,0,0,100,0,0,0,46,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,SALZBURG,FLYBE LTD,A,C,1,0,100,0,0,0,0,0,0,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,AUSTRIA,SALZBURG,FLYBE LTD,D,C,2,0,0,50,50,0,0,0,28.5,0,1,100,0
22/07/2014 12:19,201405,BIRMINGHAM,BELGIUM,ANTWERP,CITY JET,A,C,1,0,100,0,0,0,0,0,0,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,A,S,115,0,71.30434783,14.7826087,13.04347826,0.869565217,0,0,11.50434783,2,114,82.45614035,7.48245614
22/07/2014 12:19,201405,BIRMINGHAM,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,D,S,117,0,68.37606838,15.38461538,12.82051282,3.418803419,0,0,13.22222222,1,114,86.84210526,5.868421053
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,BURGAS,BH AIR,A,C,1,0,100,0,0,0,0,0,6,0,1,100,0
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,BURGAS,BH AIR,D,C,2,0,50,0,0,50,0,0,34,0,2,50,60
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,BURGAS,THOMAS COOK AIRLINES LTD,A,C,2,0,50,0,0,50,0,0,65,0,0,0,0
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,BURGAS,THOMAS COOK AIRLINES LTD,D,C,2,0,50,0,0,50,0,0,80.5,0,2,100,0
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,BURGAS,THOMSON AIRWAYS LTD,A,C,1,0,100,0,0,0,0,0,0,0,1,100,0
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,BURGAS,THOMSON AIRWAYS LTD,D,C,1,0,100,0,0,0,0,0,5,0,2,100,0
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,SOFIA,BULGARIA AIR,A,C,0,0,0,0,0,0,0,0,0,0,1,0,20
22/07/2014 12:19,201405,BIRMINGHAM,BULGARIA,SOFIA,BULGARIA AIR,D,C,0,0,0,0,0,0,0,0,0,0,1,0,65
