run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
15-Apr-2016 09:29,201601,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S, 40 , 0 , 77.5 , 5 , 5 , 12.5 , 0 , 0 , 17.225 , 1 , 45 , 80 , 14.0222222222222 
15-Apr-2016 09:29,201601,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S, 40 , 0 , 72.5 , 12.5 , 5 , 10 , 0 , 0 , 15.075 , 1 , 45 , 80 , 16 
15-Apr-2016 09:29,201601,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,A,S, 23 , 0 , 95.6521739130435 , 4.34782608695652 , 0 , 0 , 0 , 0 , 2.26086956521739 , 0 , 23 , 78.2608695652174 , 15.0869565217391 
15-Apr-2016 09:29,201601,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,D,S, 23 , 0 , 95.6521739130435 , 4.34782608695652 , 0 , 0 , 0 , 0 , 2.78260869565217 , 0 , 23 , 78.2608695652174 , 13.2608695652174 
15-Apr-2016 09:29,201601,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,A,S, 67 , 0 , 88.0597014925373 , 8.95522388059702 , 2.98507462686567 , 0 , 0 , 0 , 5.19402985074627 , 0 , 0 , 0 , 0 
15-Apr-2016 09:29,201601,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,D,S, 66 , 0 , 80.3030303030303 , 12.1212121212121 , 4.54545454545455 , 3.03030303030303 , 0 , 0 , 9.56060606060606 , 0 , 0 , 0 , 0 
15-Apr-2016 09:29,201601,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,A,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 85 , 71.7647058823529 , 10.0705882352941 
15-Apr-2016 09:29,201601,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,D,S, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 84 , 73.8095238095238 , 11.9404761904762 
15-Apr-2016 09:29,201601,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,A,S, 60 , 0 , 70 , 18.3333333333333 , 3.33333333333333 , 8.33333333333333 , 0 , 0 , 14.6833333333333 , 1 , 0 , 0 , 0 
15-Apr-2016 09:29,201601,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,D,S, 59 , 0 , 93.2203389830508 , 5.08474576271186 , 1.69491525423729 , 0 , 0 , 0 , 3.30508474576271 , 1 , 0 , 0 , 0 
