run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
3/3/2017 9:59:47 AM,201604,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S,35,0,91.42857143,2.857142857,5.714285714,0,0,0,4.77143,38,52,94.23076923,2.365384615
3/3/2017 9:59:47 AM,201604,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S,35,0,88.57142857,5.714285714,5.714285714,0,0,0,5.31429,35,52,94.23076923,2.884615385
3/3/2017 9:59:47 AM,201604,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,A,S,22,0,72.72727273,0,0,18.18181818,9.090909091,0,42.54545,23,24,87.5,4.458333333
3/3/2017 9:59:47 AM,201604,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,D,S,24,0,66.66666667,8.333333333,0,20.83333333,4.166666667,0,34.79167,22,24,87.5,6.916666667
3/3/2017 9:59:47 AM,201604,ABERDEEN,DENMARK,ESBJERG,EASTERN AIRWAYS,A,C,0,0,0,0,0,0,0,0,0,0,1,100,0
3/3/2017 9:59:47 AM,201604,ABERDEEN,DENMARK,ESBJERG,EASTERN AIRWAYS,D,C,0,0,0,0,0,0,0,0,0,0,1,100,1
3/3/2017 9:59:47 AM,201604,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,A,S,79,0,84.81012658,11.39240506,3.797468354,0,0,0,6.05063,79,0,0,0
3/3/2017 9:59:47 AM,201604,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,D,S,78,0,80.76923077,15.38461539,3.846153846,0,0,0,6.58974,78,0,0,0
3/3/2017 9:59:47 AM,201604,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,A,S,0,0,0,0,0,0,0,0,0,0,79,87.34177215,5.53164557
3/3/2017 9:59:47 AM,201604,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,D,S,0,0,0,0,0,0,0,0,0,0,79,91.13924051,6.17721519
3/3/2017 9:59:47 AM,201604,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,A,S,59,0,88.13559322,6.779661017,3.389830508,1.694915254,0,0,7.45763,60,59,69.49152542,18.22033898
3/3/2017 9:59:47 AM,201604,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,D,S,59,0,93.22033898,1.694915254,3.389830508,0,1.694915254,0,8.16949,60,59,86.44067797,6.13559322
3/3/2017 9:59:47 AM,201604,ABERDEEN,ICELAND,KEFLAVIK,ICELANDAIR,A,S,17,0,82.35294118,11.76470588,5.882352941,0,0,0,7.58824,17,0,0,0
3/3/2017 9:59:47 AM,201604,ABERDEEN,ICELAND,KEFLAVIK,ICELANDAIR,D,S,17,0,100,0,0,0,0,0,1,17,0,0,0
3/3/2017 9:59:47 AM,201604,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,A,S,30,0,93.33333333,3.333333333,0,3.333333333,0,0,4.73333,30,0,0,0
3/3/2017 9:59:47 AM,201604,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,D,S,30,0,86.66666667,6.666666667,3.333333333,3.333333333,0,0,7.03333,30,0,0,0
